Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
768505,Daan Heymans,9986,Attacking Midfielder,808,25,€1.4M,First Division A,87,2.12,83,33.3,N/A,N/A,95,82,60.66,4.12,0,0.0,53,0.67,30,1.0,N/A,N/A,58,22.22,85,0.67,68,0.33,17,0.33,90,75.0,80,92,57.69,6.68,N/A,N/A,78,1.45,7,0.33,97,N/A,N/A,0.67,N/A,N/A,N/A,N/A,73,0.56,87,76.0,50,78.68,N/A,N/A,N/A,N/A,95,N/A,N/A,N/A,N/A,0.22,N/A,N/A,25,0.33,52,4.12,0,0.0,N/A,N/A,N/A,N/A,92,92,1.56,3.79,32,0.22,78,68,76.47,1.45,73,53,4.34,56.7,20,0.33,43,0.11,95,88,0.45,0.62,92,0.58
775394,Frederic Ananou,9997,Right Wing-Back,194,27,€650K,First Division A,42,1.39,72,38.04,N/A,N/A,36,75,66.67,0.93,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,0.46,39,0.93,N/A,N/A,N/A,N/A,36,100,68.75,5.1,N/A,N/A,31,0.93,N/A,N/A,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,33,0.93,72,50.0,86,85.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83,0.46,31,3.71,100,0.0,N/A,N/A,N/A,N/A,33,N/A,N/A,0.46,N/A,N/A,92,53,66.67,2.78,36,8,0.46,61.24,100,0.0,0,0.01,31,31,0.02,0.02,N/A,N/A
776258,Dogucan Haspolat,10001,Defensive Midfielder,810,24,€1.1M,First Division A,77,3.67,27,25.11,N/A,N/A,57,68,58.82,1.11,72,0.11,44,0.22,72,1.33,N/A,N/A,67,25.45,90,0.11,33,1.33,52,0.67,38,50.0,59,80,56.82,5.56,N/A,N/A,62,1.44,21,0.44,75,N/A,N/A,0.11,N/A,N/A,N/A,N/A,93,2.0,31,47.83,23,75.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,0.11,26,3.89,100,0.0,N/A,N/A,N/A,N/A,21,42,0.22,0.56,86,1.56,89,68,70.0,2.33,38,N/A,N/A,55.11,22,0.44,65,0.11,17,19,0.02,0.02,64,0.11
782154,Hamza Mendyl,1773,Left Wing-Back,360,26,€1.4M,First Division A,50,1.5,39,26.75,N/A,N/A,58,69,62.5,1.25,0,0.0,N/A,N/A,17,0.5,N/A,N/A,31,12.5,83,0.25,58,0.75,33,0.75,19,33.33,58,33,51.11,5.75,N/A,N/A,92,2.25,36,0.75,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,39,1.0,28,33.33,44,78.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.75,3,2.5,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,33,0.25,89,81,75.0,2.25,19,11,0.5,57.5,44,0.25,33,0.05,N/A,N/A,N/A,N/A,N/A,N/A
785377,Aiden O'Neill,9985,Central Midfielder,810,26,€1.4M,First Division A,75,3.56,43,30.89,N/A,N/A,75,70,60.0,1.67,0,0.0,80,0.56,21,0.33,N/A,N/A,N/A,N/A,59,0.78,40,1.22,20,0.22,38,50.0,62,68,54.26,5.67,N/A,N/A,62,1.44,74,1.44,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,31,0.67,53,57.14,37,78.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,0.11,62,5.56,100,0.0,N/A,N/A,N/A,N/A,40,N/A,N/A,0.78,N/A,N/A,60,53,61.9,1.44,31,43,1.11,53.11,41,0.22,26,0.05,44,46,0.05,0.05,N/A,N/A
789532,Thibaud Verlinden,583877,Attacking Midfielder,631,25,€1.2M,First Division A,48,1.14,70,28.1,N/A,N/A,38,87,66.67,0.29,77,0.29,60,0.71,62,1.57,N/A,N/A,58,22.22,37,1.57,8,1.57,92,3.0,48,48.84,63,33,42.53,5.28,N/A,N/A,35,0.71,10,0.57,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,62,0.43,60,66.67,88,85.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,0.71,37,3.42,0,0.0,N/A,N/A,N/A,N/A,53,72,1.0,2.42,77,1.14,52,42,60.0,0.86,75,35,3.42,56.91,100,0.0,72,0.2,17,20,0.09,0.09,38,0.2
802213,Roman Kvet,7947,Central Midfielder,567,26,€700K,First Division A,7,0.48,49,31.9,N/A,N/A,44,91,83.33,0.79,0,0.0,91,0.95,46,0.79,N/A,N/A,56,25.0,44,0.95,27,1.43,49,0.63,36,44.44,40,58,52.46,5.08,N/A,N/A,48,1.27,72,1.43,94,N/A,N/A,0.32,N/A,N/A,N/A,N/A,37,0.79,7,27.27,65,84.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,2.06,62,5.56,100,0.0,N/A,N/A,N/A,N/A,86,69,0.48,1.9,42,0.16,32,17,42.86,0.95,33,83,2.54,54.13,100,0.0,63,0.11,81,83,0.15,0.15,90,0.28
810487,Warleson,9984,Keeper,810,28,€4.4M,First Division A,85,8.44,N/A,N/A,100,1.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,20,1.89,N/A,70,0.44,25,0.67,N/A,N/A,35,37.44,5,43.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20,63.83,55,3.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
814619,Youssef Maziz,1773,Attacking Midfielder,643,26,€1.4M,First Division A,95,3.5,72,28.55,N/A,N/A,37,32,18.18,0.28,0,0.0,43,0.56,82,2.52,N/A,N/A,93,38.0,32,1.68,N/A,N/A,63,1.4,33,38.46,37,28,40.79,4.34,N/A,N/A,75,1.4,73,1.96,62,N/A,N/A,0.28,N/A,N/A,N/A,N/A,75,0.56,45,55.56,35,76.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,0.56,72,4.9,0,0.0,N/A,N/A,N/A,N/A,58,58,0.84,2.52,93,2.66,15,17,40.0,0.28,83,38,3.5,61.03,25,0.28,82,0.28,72,73,0.32,0.32,80,0.44
816397,Joedrick Pupe,7947,Center Back,630,27,€460K,First Division A,50,3.86,73,51.86,N/A,N/A,36,45,55.0,1.57,100,0.57,86,0.29,95,0.86,N/A,N/A,76,17.65,12,0.57,59,0.29,85,0.57,52,50.0,42,38,53.45,4.43,N/A,N/A,71,1.14,85,1.29,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,88,2.14,14,36.49,39,82.88,N/A,N/A,5,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83,0.14,91,5.14,100,0.0,N/A,N/A,N/A,N/A,95,N/A,N/A,1.29,95,0.43,27,36,57.14,0.57,88,83,1.43,89.0,11,0.43,97,0.17,83,85,0.09,0.09,N/A,N/A
