Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
1127585,Sondre Klingen Langås,8478,Center Back,2054,23,€400K,Eliteserien,27,2.94,77,62.53,N/A,N/A,64,74,63.64,2.76,0,0.0,67,0.18,64,0.31,N/A,N/A,N/A,N/A,33,0.22,70,0.31,23,0.04,24,33.33,46,73,62.58,4.47,N/A,N/A,21,0.57,63,0.74,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,46,1.05,30,44.97,73,88.69,100,0.04,26,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,4.12,100,0.0,N/A,N/A,N/A,N/A,56,26,0.04,0.53,N/A,N/A,20,34,57.14,0.53,73,69,1.1,81.72,69,0.09,81,0.06,47,49,0.05,0.05,31,0.01
1129328,Jeppe Kjær,8417,Striker,788,20,€550K,Eliteserien,48,0.46,89,19.76,N/A,N/A,11,5,20.83,0.57,0,0.0,36,0.46,80,1.26,N/A,N/A,61,16.67,5,2.74,2,1.48,100,1.94,43,42.5,77,32,39.58,6.51,N/A,N/A,23,0.91,75,1.48,34,N/A,N/A,0.23,N/A,N/A,N/A,N/A,45,0.23,57,66.67,91,79.72,86,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93,1.37,100,6.28,100,0.0,N/A,N/A,N/A,N/A,0,18,0.57,1.48,91,0.57,100,48,63.64,1.6,95,75,5.94,52.88,100,0.0,84,0.16,11,14,0.22,0.22,27,0.27
1130733,Mathias Fjørtoft Løvik,9917,Left Midfielder,1353,20,€3.5M,Eliteserien,44,1.4,22,22.42,N/A,N/A,56,56,50.0,1.06,50,0.07,55,0.33,39,0.8,N/A,N/A,71,30.36,75,0.53,64,0.73,85,1.4,39,43.75,45,34,47.26,4.59,N/A,N/A,45,1.0,44,0.93,88,N/A,N/A,0.27,N/A,N/A,N/A,N/A,47,0.8,38,43.75,13,73.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,0.4,58,4.59,100,0.0,N/A,N/A,N/A,N/A,58,77,0.53,1.26,80,1.13,22,75,72.22,0.86,47,73,3.46,56.14,20,0.27,64,0.15,50,53,0.1,0.1,75,0.17
1133381,Albert Grønbæk,8402,Central Midfielder,397,23,€11M,Ligue 1,54,0.68,11,13.83,N/A,N/A,31,30,14.29,0.23,66,0.23,49,0.45,100,3.4,N/A,N/A,67,27.27,15,2.27,10,1.81,48,1.13,38,33.33,31,11,30.91,3.85,N/A,N/A,43,0.91,16,0.45,59,N/A,N/A,0.23,N/A,N/A,N/A,N/A,69,0.68,74,60.0,11,70.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,0.68,25,2.95,100,0.0,N/A,N/A,N/A,N/A,54,85,1.59,2.04,56,0.68,66,38,55.56,1.13,15,80,5.44,41.26,100,0.0,49,0.12,34,39,0.12,0.12,54,0.21
1136261,Patrick Metcalfe,8417,Right Midfielder,1894,25,€200K,Eliteserien,53,1.52,12,20.2,N/A,N/A,75,73,57.14,1.52,58,0.1,84,0.67,40,0.81,N/A,N/A,81,36.21,78,0.52,81,0.52,33,0.43,69,56.25,42,85,59.01,4.51,N/A,N/A,17,0.62,30,0.76,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,38,0.71,28,41.03,9,71.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,0.38,9,2.61,100,0.0,N/A,N/A,N/A,N/A,61,30,0.19,1.28,74,1.0,44,42,62.5,1.19,13,27,1.28,47.23,73,0.05,66,0.16,42,43,0.07,0.07,29,0.03
1136680,Isak Helstad Amundsen,9917,Center Back,1780,24,€750K,Eliteserien,0,0.86,69,58.5,N/A,N/A,31,39,55.22,1.87,96,0.1,60,0.15,77,0.4,N/A,N/A,87,42.86,6,0.66,33,0.56,94,0.76,57,55.56,61,34,55.62,5.01,N/A,N/A,29,0.66,31,0.46,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,13,0.66,1,28.81,70,88.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,0.15,53,3.84,100,0.0,N/A,N/A,N/A,N/A,40,27,0.05,0.4,81,0.15,70,41,60.53,1.16,60,50,0.91,78.67,20,0.25,37,0.03,27,29,0.03,0.03,44,0.03
1137726,Lasse Nordås,8608,Striker,1740,22,€550K,Eliteserien,20,0.21,52,11.64,N/A,N/A,68,80,54.81,2.95,68,0.16,82,0.83,59,0.98,N/A,N/A,70,25.0,36,1.5,20,0.72,73,1.09,25,39.62,73,45,41.94,6.05,N/A,N/A,82,2.12,64,1.24,66,N/A,N/A,0.36,N/A,N/A,N/A,N/A,32,0.16,30,40.0,48,69.02,70,0.05,N/A,N/A,80,N/A,N/A,N/A,N/A,0.05,N/A,N/A,86,0.93,80,3.41,100,0.0,N/A,N/A,N/A,N/A,77,77,1.34,3.36,66,0.1,57,66,68.75,0.57,55,86,6.78,35.28,30,0.21,68,0.12,70,64,0.39,0.47,61,0.45
1139499,Oskar Siira Sivertsen,8605,Right Winger,1738,20,€120K,Eliteserien,54,0.83,43,20.14,N/A,N/A,22,27,27.27,0.31,73,0.21,35,0.47,94,2.74,N/A,N/A,84,33.97,48,1.45,14,1.24,59,1.5,65,48.33,21,19,38.62,3.78,N/A,N/A,30,0.93,10,0.57,57,N/A,N/A,0.21,N/A,N/A,N/A,N/A,56,0.47,10,32.65,49,77.49,N/A,N/A,N/A,N/A,95,N/A,N/A,N/A,N/A,0.21,N/A,N/A,30,0.31,32,2.69,100,0.0,N/A,N/A,N/A,N/A,37,56,0.72,1.81,95,2.74,51,37,59.26,0.83,62,6,2.23,50.13,41,0.16,84,0.32,68,6,0.08,0.25,79,0.31
1145714,Sander Tangvik,8422,Keeper,2070,21,€350K,Eliteserien,12,5.35,N/A,N/A,88,0.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,0.09,N/A,N/A,N/A,N/A,N/A,50,1.48,N/A,42,-0.12,38,0.65,N/A,N/A,85,47.13,92,78.07,N/A,N/A,N/A,N/A,N/A,62,0.04,58,0.13,N/A,88,0.04,N/A,N/A,N/A,N/A,0,0.0,31,60.47,27,2.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1160062,Christopher Cheng,8609,Left Back,1970,22,€200K,Eliteserien,44,2.24,51,42.9,N/A,N/A,32,7,25.0,0.55,39,0.05,88,0.55,32,0.64,N/A,N/A,17,7.35,5,1.51,44,0.91,93,2.28,49,47.17,90,17,46.6,6.58,N/A,N/A,59,0.96,85,1.46,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,76,1.28,59,44.55,71,84.98,N/A,N/A,12,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71,0.37,90,5.62,0,0.0,N/A,N/A,N/A,N/A,83,51,0.14,1.05,29,0.23,71,63,68.0,1.55,71,54,1.74,84.93,59,0.14,29,0.07,44,44,0.04,0.04,49,0.02
