Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
1114635,Luis Henrique,8592,Left Winger,476,22,€9M,Ligue 1,48,0.57,67,26.66,N/A,N/A,N/A,N/A,N/A,N/A,90,0.57,21,0.19,61,1.51,N/A,N/A,70,28.57,93,0.57,N/A,N/A,64,1.7,82,60.0,7,79,52.17,2.27,N/A,N/A,20,0.38,11,0.19,82,N/A,N/A,0.57,N/A,N/A,N/A,N/A,30,0.19,28,20.0,48,78.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,0.19,20,2.65,100,0.0,N/A,N/A,N/A,N/A,26,46,0.76,1.32,41,0.38,26,100,100.0,0.38,44,33,2.65,45.76,100,0.0,52,0.13,46,52,0.16,0.16,82,0.45
1114979,Emmanuel Agbadou,9837,Center Back,540,27,€8.5M,Ligue 1,77,3.5,68,53.17,N/A,N/A,15,12,45.45,0.83,0,0.0,76,0.17,44,0.17,N/A,N/A,N/A,N/A,9,0.67,23,0.67,86,0.83,73,71.43,59,52,60.78,5.17,N/A,N/A,45,0.83,36,0.5,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,58,1.33,47,45.65,53,87.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73,0.17,79,5.17,100,0.0,N/A,N/A,N/A,N/A,91,88,0.5,1.17,N/A,N/A,85,61,61.11,1.83,70,29,0.33,77.67,100,0.0,67,0.03,79,79,0.06,0.06,91,0.13
1117069,Georges Mikautadze,9748,Striker,337,23,€18M,Ligue 1,82,0.8,88,24.3,N/A,N/A,38,20,15.0,0.8,0,0.0,90,1.07,20,0.53,N/A,N/A,N/A,N/A,30,1.87,N/A,N/A,38,0.53,28,13.33,20,12,24.0,3.2,N/A,N/A,8,0.27,35,1.07,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,68,0.27,100,100.0,78,83.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,1.6,100,4.81,100,0.0,N/A,N/A,N/A,N/A,90,68,1.34,4.01,N/A,N/A,62,68,66.67,0.53,85,82,8.28,49.67,100,0.0,85,0.2,70,60,0.45,0.66,60,0.39
1124453,Aimen Moueffek,9853,Attacking Midfielder,232,23,€1.5M,Ligue 1,66,0.78,85,34.91,N/A,N/A,92,80,55.56,1.94,0,0.0,N/A,N/A,16,0.39,N/A,N/A,N/A,N/A,95,0.39,26,1.16,18,0.39,16,20.0,34,33,38.46,3.88,N/A,N/A,72,1.55,N/A,N/A,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,41,0.39,44,50.0,95,91.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,0.39,74,5.43,100,0.0,N/A,N/A,N/A,N/A,3,N/A,N/A,0.39,N/A,N/A,28,20,25.0,0.39,74,N/A,N/A,55.47,100,0.0,10,0.02,3,3,0.01,0.01,N/A,N/A
1133081,Sinaly Diomandé,8583,Center Back,294,23,€4.5M,Ligue 1,39,2.14,12,33.37,N/A,N/A,58,32,54.55,1.84,94,0.31,N/A,N/A,67,0.31,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,62,0.31,52,50.0,45,15,55.56,4.59,N/A,N/A,89,1.84,89,1.22,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,30,0.92,30,36.84,5,78.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,3.67,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,N/A,N/A,35,80,75.0,0.92,15,26,0.31,53.57,6,0.61,61,0.02,N/A,N/A,N/A,N/A,N/A,N/A
1133381,Albert Grønbæk,9851,Central Midfielder,397,23,€11M,Ligue 1,54,0.68,11,13.83,N/A,N/A,31,30,14.29,0.23,66,0.23,49,0.45,100,3.4,N/A,N/A,67,27.27,15,2.27,10,1.81,48,1.13,38,33.33,31,11,30.91,3.85,N/A,N/A,43,0.91,16,0.45,59,N/A,N/A,0.23,N/A,N/A,N/A,N/A,69,0.68,74,60.0,11,70.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44,0.68,25,2.95,100,0.0,N/A,N/A,N/A,N/A,54,85,1.59,2.04,56,0.68,66,38,55.56,1.13,15,80,5.44,41.26,100,0.0,49,0.12,34,39,0.12,0.12,54,0.21
1137670,Willian Pacho,9847,Center Back,477,22,€37M,Ligue 1,23,1.32,97,89.62,N/A,N/A,52,70,69.23,1.7,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,0.19,48,0.38,N/A,N/A,N/A,N/A,15,59,62.07,3.4,N/A,N/A,41,0.75,17,0.19,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,86,2.08,32,38.89,91,94.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68,4.72,100,0.0,N/A,N/A,N/A,N/A,36,N/A,N/A,0.19,N/A,N/A,36,62,62.5,0.94,97,56,0.75,108.49,47,0.19,58,0.02,50,50,0.02,0.02,59,0.0
1138769,David Costa,8588,Attacking Midfielder,133,23,€9M,Ligue 1,51,0.68,72,28.42,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,62,0.68,54,1.35,N/A,N/A,100,50.0,57,1.35,56,0.68,N/A,N/A,N/A,N/A,5,5,25.0,2.03,N/A,N/A,38,0.68,44,1.35,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,66,0.68,100,100.0,93,89.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,4.06,100,0.0,N/A,N/A,N/A,N/A,52,72,1.35,2.03,54,0.68,N/A,N/A,N/A,N/A,64,38,2.71,52.11,100,0.0,89,0.3,85,87,0.38,0.38,30,0.03
1145717,Warren Kamanzi,9941,Right Wing-Back,383,23,€1.5M,Ligue 1,10,0.23,19,25.61,N/A,N/A,22,100,100.0,0.47,0,0.0,N/A,N/A,59,0.94,N/A,N/A,38,12.5,76,0.23,10,1.64,81,0.94,53,50.0,71,59,57.14,5.64,N/A,N/A,66,1.41,26,0.47,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,17,0.23,16,16.67,28,78.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,0.94,71,5.17,100,0.0,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,38,0.23,66,14,50.0,1.88,10,55,0.94,51.93,38,0.23,34,0.03,N/A,N/A,N/A,N/A,N/A,N/A
1156569,Sebastian Nanasi,9848,Left Midfielder,331,22,€8.5M,Ligue 1,79,1.09,57,24.2,N/A,N/A,57,54,40.0,0.54,70,0.27,31,0.27,66,1.63,N/A,N/A,43,20.0,87,0.82,41,0.82,46,1.09,57,44.44,18,46,42.86,3.26,N/A,N/A,31,0.54,46,1.36,90,N/A,N/A,0.82,N/A,N/A,N/A,N/A,N/A,N/A,100,100.0,85,85.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,3.81,100,0.0,N/A,N/A,N/A,N/A,36,74,1.36,1.63,49,0.54,21,100,100.0,0.27,31,69,4.08,42.96,100,0.0,84,0.25,93,93,0.77,0.77,93,0.83
