Player ID,Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
873838,Juan Berrocal,8305,Center Back,359,25,€1M,LaLiga,29,2.26,3,20.31,N/A,N/A,90,64,63.64,3.51,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,24,0.5,N/A,N/A,N/A,N/A,85,64,61.76,5.26,N/A,N/A,61,1.0,N/A,N/A,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,78,1.5,38,40.91,4,72.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,3.51,100,0.0,N/A,N/A,N/A,N/A,35,N/A,N/A,0.25,N/A,N/A,24,6,28.57,0.5,0,32,0.5,36.85,100,0.0,7,0.0,68,68,0.05,0.05,N/A,N/A
879609,Alex Suárez,8306,Right Back,470,31,€1.5M,LaLiga,15,1.72,58,52.85,N/A,N/A,10,4,26.67,0.77,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,65,0.19,N/A,N/A,N/A,N/A,36,19,51.43,3.45,N/A,N/A,86,1.34,47,0.38,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,26,0.57,4,25.0,50,87.07,N/A,N/A,4,0.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,3.06,100,0.0,N/A,N/A,N/A,N/A,22,69,0.19,0.19,N/A,N/A,86,44,66.67,1.53,65,38,0.57,74.49,15,0.38,24,0.0,38,38,0.02,0.02,67,0.02
881771,Ferran Torres,8634,Left Winger,323,24,€25M,LaLiga,34,0.56,42,21.18,N/A,N/A,31,34,33.33,0.28,88,0.56,41,0.28,23,0.84,N/A,N/A,31,20.0,70,0.84,83,0.28,55,1.67,94,85.71,8,69,52.38,3.07,N/A,N/A,30,0.84,2,0.28,70,N/A,N/A,0.28,N/A,N/A,N/A,N/A,N/A,N/A,55,66.67,48,79.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,1.11,9,2.23,2,0.28,N/A,N/A,N/A,N/A,61,73,1.11,1.95,22,0.28,17,17,33.33,0.28,17,59,3.9,39.29,100,0.0,31,0.08,58,64,0.22,0.22,59,0.23
881786,Javier Hernández,7854,Left Back,517,26,€2.3M,LaLiga,42,1.39,26,23.85,N/A,N/A,65,86,75.0,1.04,81,0.17,N/A,N/A,78,1.22,N/A,N/A,16,4.76,7,1.39,22,1.22,68,0.87,83,71.43,28,10,40.74,3.83,N/A,N/A,94,2.44,26,0.52,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,81,1.39,23,32.0,30,79.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,2.96,100,0.0,N/A,N/A,N/A,N/A,64,62,0.17,0.7,20,0.17,23,45,62.5,0.87,19,83,1.57,54.31,100,0.0,62,0.09,71,71,0.04,0.04,75,0.04
888167,Kike Pérez,10281,Central Midfielder,529,27,€3.5M,LaLiga,60,2.04,38,31.3,N/A,N/A,62,66,54.55,1.02,0,0.0,35,0.17,46,0.85,N/A,N/A,43,14.29,52,0.85,26,1.36,26,0.34,19,28.57,75,44,45.95,5.78,N/A,N/A,96,2.89,62,1.53,80,N/A,N/A,0.17,N/A,N/A,N/A,N/A,45,0.68,62,60.0,59,84.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2.38,100,0.0,N/A,N/A,N/A,N/A,61,48,0.17,1.19,44,0.17,91,57,66.67,2.04,34,56,1.53,53.08,35,0.34,53,0.08,72,74,0.12,0.12,72,0.1
895362,Rodrygo,8633,Striker,601,23,€100M,LaLiga,30,0.45,88,39.53,N/A,N/A,41,56,37.5,0.45,61,0.15,58,0.45,84,2.4,N/A,N/A,73,35.29,91,0.45,47,0.75,61,1.95,62,52.0,36,80,54.24,4.79,N/A,N/A,9,0.45,48,1.5,80,N/A,N/A,0.45,N/A,N/A,N/A,N/A,N/A,N/A,72,75.0,94,89.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55,0.6,11,2.25,100,0.0,N/A,N/A,N/A,N/A,59,62,0.9,1.95,59,0.9,36,55,66.67,0.6,69,73,5.24,61.25,100,0.0,59,0.16,44,47,0.16,0.16,61,0.23
895953,Alex Sola,8305,Right Winger,549,25,€3.5M,LaLiga,16,0.66,0,8.69,N/A,N/A,84,47,41.67,1.64,0,0.0,84,0.66,44,0.82,N/A,N/A,50,20.0,15,1.64,27,1.31,92,1.8,31,37.93,91,28,42.86,7.38,N/A,N/A,71,1.8,74,1.8,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,14,0.16,11,33.33,0,58.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,1.15,54,4.75,100,0.0,N/A,N/A,N/A,N/A,74,47,0.16,1.48,43,0.16,51,34,53.85,1.15,6,80,2.95,38.69,20,0.49,31,0.04,50,51,0.07,0.07,61,0.05
896402,José Copete,8661,Center Back,215,24,€3.3M,LaLiga,38,2.51,19,34.33,N/A,N/A,72,85,75.0,2.51,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.0,N/A,N/A,N/A,N/A,N/A,N/A,82,57,60.0,5.02,N/A,N/A,100,2.51,50,0.42,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,14,0.42,42,42.86,29,83.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1.67,100,0.0,N/A,N/A,N/A,N/A,97,100,0.84,1.26,N/A,N/A,92,69,80.0,1.67,28,93,1.67,56.51,12,0.42,12,0.0,96,96,0.15,0.15,86,0.14
902901,Miguel de la Fuente,7854,Striker,463,25,€3M,LaLiga,63,0.58,0,6.22,N/A,N/A,20,4,12.5,0.58,0,0.0,70,0.78,N/A,N/A,N/A,N/A,67,20.0,56,1.17,28,0.58,22,0.19,22,14.29,13,6,26.79,2.92,N/A,N/A,31,0.97,70,1.75,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,54,0.19,33,37.5,11,57.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,0.19,11,1.17,100,0.0,N/A,N/A,N/A,N/A,26,22,0.39,1.75,69,0.19,37,43,50.0,0.19,11,22,3.11,26.44,17,0.39,22,0.02,17,17,0.14,0.14,30,0.13
914458,Aurélien Tchouaméni,8633,Defensive Midfielder,603,24,€95M,LaLiga,77,2.84,97,70.3,N/A,N/A,90,84,70.0,2.09,0,0.0,N/A,N/A,14,0.3,N/A,N/A,N/A,N/A,78,0.45,38,1.19,33,0.45,81,75.0,66,84,60.0,5.37,N/A,N/A,38,1.04,25,0.75,0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,97,2.69,83,73.08,97,92.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,0.6,64,5.22,100,0.0,N/A,N/A,N/A,N/A,36,N/A,N/A,0.75,N/A,N/A,33,14,42.86,0.9,98,46,1.04,88.81,100,0.0,32,0.05,56,58,0.08,0.08,N/A,N/A
